"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.Volume","PropHKPriceEdge.Volume","PropnetProbBEdge.Volume","KProbHKPrice.Volume","KProbnetProbB.Volume","KProbFixed.Volume","KProbFixednetProbB.Volume","KEMProb.Volume","KEMProbnetProbB.Volume","KProbHalf.Volume","KProbHalfnetProbB.Volume","KProbQuarter.Volume","KProbQuarternetProbB.Volume","KProbAdj.Volume","KProbAdjnetProbB.Volume","KHalfAdj.Volume","KHalfAdjnetProbB.Volume","KEMQuarterAdj.Volume","KEMQuarterAdjnetProbB.Volume"
"1502","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :  40.53  ","Mean   : 171.649  ","Mean   : 171.653  ","Mean   :  41.2251  ","Mean   :  41.2250  ","Mean   :  41.3958  ","Mean   :  41.3997  ","Mean   :1.050  ","Mean   :1.0498  ","Mean   :  9.757  ","Mean   :  9.759  ","Mean   : 1.8527  ","Mean   : 1.8683  ","Mean   :  41.3958  ","Mean   :  41.3997  ","Mean   :  4.83471  ","Mean   :  4.9511  ","Mean   : 0.574573  ","Mean   : 0.62453  "
"1503","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:  50.00  ","3rd Qu.: 208.425  ","3rd Qu.: 208.438  ","3rd Qu.:  50.0000  ","3rd Qu.:  50.0000  ","3rd Qu.:  50.1647  ","3rd Qu.:  50.2138  ","3rd Qu.:1.215  ","3rd Qu.:1.2144  ","3rd Qu.: 11.989  ","3rd Qu.: 11.978  ","3rd Qu.: 2.2970  ","3rd Qu.: 2.3048  ","3rd Qu.:  50.1647  ","3rd Qu.:  50.2138  ","3rd Qu.:  5.82470  ","3rd Qu.:  5.9768  ","3rd Qu.: 0.694347  ","3rd Qu.: 0.76073  "
"1504","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1600.00  ","Max.   :6702.411  ","Max.   :6702.423  ","Max.   :1600.0000  ","Max.   :1600.0000  ","Max.   :1600.0000  ","Max.   :1600.0000  ","Max.   :5.909  ","Max.   :6.2982  ","Max.   :399.515  ","Max.   :399.587  ","Max.   :99.2718  ","Max.   :99.3804  ","Max.   :1600.0000  ","Max.   :1600.0000  ","Max.   :204.07878  ","Max.   :225.6129  ","Max.   :26.030094  ","Max.   :31.81324  "
"1505","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1506","Kelly2","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :   0.50  ","Min.   :   2.869  ","Min.   :   2.588  ","Min.   :   0.5091  ","Min.   :   0.5091  ","Min.   :   0.5091  ","Min.   :   0.5091  ","Min.   :0.07569  ","Min.   :0.07569  ","Min.   :  0.000  ","Min.   :  0.000  ","Min.   : 0.0000  ","Min.   : 0.00000  ","Min.   :   0.5091  ","Min.   :   0.5091  ","Min.   :  0.04514  ","Min.   :  0.019  ","Min.   : 0.001803  ","Min.   : 0.00001  "
"1507","Kelly2","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:  12.50  ","1st Qu.:  53.713  ","1st Qu.:  53.716  ","1st Qu.:  12.7879  ","1st Qu.:  12.7879  ","1st Qu.:  12.7879  ","1st Qu.:  12.7879  ","1st Qu.:0.88896  ","1st Qu.:0.88896  ","1st Qu.:  2.626  ","1st Qu.:  2.632  ","1st Qu.: 0.0000  ","1st Qu.: 0.01224  ","1st Qu.:  12.7879  ","1st Qu.:  12.7879  ","1st Qu.:  1.45526  ","1st Qu.:  1.426  ","1st Qu.: 0.164958  ","1st Qu.: 0.15526  "
"1508","Kelly2","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :  26.00  ","Median : 112.491  ","Median : 112.458  ","Median :  26.8034  ","Median :  26.8034  ","Median :  26.8034  ","Median :  26.8034  ","Median :1.05287  ","Median :1.05287  ","Median :  6.161  ","Median :  6.168  ","Median : 0.8571  ","Median : 0.87494  ","Median :  26.8034  ","Median :  26.8034  ","Median :  3.11267  ","Median :  3.151  ","Median : 0.365200  ","Median : 0.38080  "
"1509","Kelly2","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :  40.53  ","Mean   : 171.647  ","Mean   : 171.651  ","Mean   :  41.2228  ","Mean   :  41.2228  ","Mean   :  41.2228  ","Mean   :  41.2228  ","Mean   :1.04752  ","Mean   :1.04752  ","Mean   :  9.755  ","Mean   :  9.756  ","Mean   : 1.8505  ","Mean   : 1.86629  ","Mean   :  41.2228  ","Mean   :  41.2228  ","Mean   :  4.81506  ","Mean   :  4.932  ","Mean   : 0.572295  ","Mean   : 0.62232  "
"1510","Kelly2","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:  50.00  ","3rd Qu.: 208.425  ","3rd Qu.: 208.445  ","3rd Qu.:  50.0000  ","3rd Qu.:  50.0000  ","3rd Qu.:  50.0000  ","3rd Qu.:  50.0000  ","3rd Qu.:1.21275  ","3rd Qu.:1.21275  ","3rd Qu.: 11.986  ","3rd Qu.: 11.975  ","3rd Qu.: 2.2930  ","3rd Qu.: 2.30118  ","3rd Qu.:  50.0000  ","3rd Qu.:  50.0000  ","3rd Qu.:  5.79992  ","3rd Qu.:  5.955  ","3rd Qu.: 0.692463  ","3rd Qu.: 0.75838  "
"1511","Kelly2","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :1600.00  ","Max.   :6702.411  ","Max.   :6702.423  ","Max.   :1600.0000  ","Max.   :1600.0000  ","Max.   :1600.0000  ","Max.   :1600.0000  ","Max.   :3.47271  ","Max.   :3.47271  ","Max.   :399.515  ","Max.   :399.587  ","Max.   :99.2718  ","Max.   :99.38039  ","Max.   :1600.0000  ","Max.   :1600.0000  ","Max.   :204.07878  ","Max.   :225.613  ","Max.   :26.030094  ","Max.   :31.81324  "
"1512","Kelly2",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
