"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.Open","PropHKPriceEdge.Open","PropnetProbBEdge.Open","KProbHKPrice.Open","KProbnetProbB.Open","KProbFixed.Open","KProbFixednetProbB.Open","X.KEMProb.Open","KEMProbnetProbB.Open","KProbHalf.Open","KProbHalfnetProbB.Open","KProbQuarter.Open","KProbQuarternetProbB.Open","KProbAdj.Open","KProbAdjnetProbB.Open","KHalfAdj.Open","KHalfAdjnetProbB.Open","KEMQuarterAdj.Open","KEMQuarterAdjnetProbB.Open"
"1838","Kelly1","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :39246  ","Mean   :103431.01  ","Mean   :103429  ","Mean   :39302  ","Mean   :39304  ","Mean   :39650  ","Mean   :39836  ","Mean   :20185  ","Mean   :20187  ","Mean   :23936  ","Mean   :23941  ","Mean   :20069  ","Mean   :20093  ","Mean   :39650  ","Mean   :39836  ","Mean   :21707  ","Mean   :21756  ","Mean   :19653  ","Mean   :19674  "
"1839","Kelly1","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:47075  ","3rd Qu.:133694.11  ","3rd Qu.:133684  ","3rd Qu.:46423  ","3rd Qu.:46426  ","3rd Qu.:46371  ","3rd Qu.:46638  ","3rd Qu.:20558  ","3rd Qu.:20562  ","3rd Qu.:25513  ","3rd Qu.:25523  ","3rd Qu.:20299  ","3rd Qu.:20332  ","3rd Qu.:46371  ","3rd Qu.:46638  ","3rd Qu.:22462  ","3rd Qu.:22512  ","3rd Qu.:19739  ","3rd Qu.:19763  "
"1840","Kelly1","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :58090  ","Max.   :179980.78  ","Max.   :179991  ","Max.   :57531  ","Max.   :57534  ","Max.   :57680  ","Max.   :57950  ","Max.   :20890  ","Max.   :20894  ","Max.   :28120  ","Max.   :28128  ","Max.   :20738  ","Max.   :20779  ","Max.   :57680  ","Max.   :57950  ","Max.   :23769  ","Max.   :23860  ","Max.   :19895  ","Max.   :19937  "
"1841","Kelly1",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1842","Kelly2","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :14601  ","Min.   :     2.5  ","Min.   :     1  ","Min.   :14740  ","Min.   :14740  ","Min.   :14740  ","Min.   :14740  ","Min.   :19351  ","Min.   :19351  ","Min.   :18218  ","Min.   :18219  ","Min.   :19086  ","Min.   :19085  ","Min.   :14740  ","Min.   :14740  ","Min.   :18829  ","Min.   :18812  ","Min.   :19313  ","Min.   :19306  "
"1843","Kelly2","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:32419  ","1st Qu.: 74920.2  ","1st Qu.: 74915  ","1st Qu.:32531  ","1st Qu.:32531  ","1st Qu.:32531  ","1st Qu.:32531  ","1st Qu.:19873  ","1st Qu.:19873  ","1st Qu.:22414  ","1st Qu.:22417  ","1st Qu.:19867  ","1st Qu.:19881  ","1st Qu.:32531  ","1st Qu.:32531  ","1st Qu.:20947  ","1st Qu.:21012  ","1st Qu.:19569  ","1st Qu.:19591  "
"1844","Kelly2","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :39263  ","Median :104618.9  ","Median :104612  ","Median :39642  ","Median :39642  ","Median :39642  ","Median :39642  ","Median :20169  ","Median :20169  ","Median :24028  ","Median :24031  ","Median :20098  ","Median :20121  ","Median :39642  ","Median :39642  ","Median :21714  ","Median :21747  ","Median :19653  ","Median :19673  "
"1845","Kelly2","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :39245  ","Mean   :103425.5  ","Mean   :103421  ","Mean   :39296  ","Mean   :39296  ","Mean   :39296  ","Mean   :39296  ","Mean   :20179  ","Mean   :20179  ","Mean   :23930  ","Mean   :23934  ","Mean   :20068  ","Mean   :20092  ","Mean   :39296  ","Mean   :39296  ","Mean   :21681  ","Mean   :21724  ","Mean   :19650  ","Mean   :19671  "
"1846","Kelly2","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:47074  ","3rd Qu.:133691.6  ","3rd Qu.:133678  ","3rd Qu.:46421  ","3rd Qu.:46421  ","3rd Qu.:46421  ","3rd Qu.:46421  ","3rd Qu.:20554  ","3rd Qu.:20554  ","3rd Qu.:25510  ","3rd Qu.:25517  ","3rd Qu.:20296  ","3rd Qu.:20329  ","3rd Qu.:46421  ","3rd Qu.:46421  ","3rd Qu.:22477  ","3rd Qu.:22513  ","3rd Qu.:19741  ","3rd Qu.:19765  "
"1847","Kelly2","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :58089  ","Max.   :179975.6  ","Max.   :179982  ","Max.   :57525  ","Max.   :57525  ","Max.   :57525  ","Max.   :57525  ","Max.   :20884  ","Max.   :20884  ","Max.   :28114  ","Max.   :28119  ","Max.   :20738  ","Max.   :20779  ","Max.   :57525  ","Max.   :57525  ","Max.   :23769  ","Max.   :23850  ","Max.   :19895  ","Max.   :19938  "
"1848","Kelly2",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
