"",".id","X......id","X....TimeUS","X....DateUS","X....League","netEMEdge.Low","PropHKPriceEdge.Low","PropnetProbBEdge.Low","KProbHKPrice.Low","KProbnetProbB.Low","KProbFixed.Low","KProbFixednetProbB.Low","X.KEMProb.Low","KEMProbnetProbB.Low","KProbHalf.Low","KProbHalfnetProbB.Low","KProbQuarter.Low","KProbQuarternetProbB.Low","X.KProbAdj.Low","KProbAdjnetProbB.Low","X.KHalfAdj.Low","KHalfAdjnetProbB.Low","KEMQuarterAdj.Low","KEMQuarterAdjnetProbB.Low"
"1453","Kelly2","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  ","Mean   :21118  "
"1454","Kelly2","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  ","3rd Qu.:21842  "
"1455","Kelly2","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  ","Max.   :22007  "
"1456","Kelly2",NA,NA,NA,"(Other):32136  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1457","Kelly3","Min.   :    1  ","Min.   :2011-01-07 14:45:00  ","Min.   :2011-01-07  ","ENG PR : 1930  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  ","Min.   :    1  "
"1458","Kelly3","1st Qu.:10264  ","1st Qu.:2012-09-07 15:00:00  ","1st Qu.:2012-09-07  ","FRA D2 : 1526  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  ","1st Qu.:21659  "
"1459","Kelly3","Median :20528  ","Median :2013-09-21 10:00:00  ","Median :2013-09-21  ","GER D1 : 1464  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  ","Median :21769  "
"1460","Kelly3","Mean   :20528  ","Mean   :2013-08-06 03:16:01  ","Mean   :2013-08-05  ","ITA D1 : 1412  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  ","Mean   :21145  "
"1461","Kelly3","3rd Qu.:30792  ","3rd Qu.:2014-09-18 15:05:00  ","3rd Qu.:2014-09-18  ","SPA D1 : 1331  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  ","3rd Qu.:21877  "
"1462","Kelly3","Max.   :41055  ","Max.   :2015-07-19 19:45:00  ","Max.   :2015-07-19  ","FRA D1 : 1256  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  ","Max.   :22055  "
